## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /mnt/c/Stages/StageESCAPE/PlasmoMut/output/bam/112313321776_S1_L001.sorted.bam --OUTPUT /mnt/c/Stages/StageESCAPE/PlasmoMut/output/bam/112313321776_S1_L001.sorted.dedup.bam --METRICS_FILE /mnt/c/Stages/StageESCAPE/PlasmoMut/output/bam/112313321776_S1_L001.sorted.metrics.txt --REMOVE_DUPLICATES true --VALIDATION_STRINGENCY LENIENT --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 21 01:34:53 EEST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
WGA	392	31750	257	4456	248	20173	2	0.635353	12587

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	0.999976	8005	0	8005
2.0	1.080238	1506	2	1506
3.0	1.08668	677	0	677
4.0	1.087197	319	0	319
5.0	1.087238	216	0	216
6.0	1.087242	125	0	125
7.0	1.087242	124	0	126
8.0	1.087242	77	0	75
9.0	1.087242	69	0	69
10.0	1.087242	44	0	44
11.0	1.087242	44	0	44
12.0	1.087242	38	0	38
13.0	1.087242	28	0	28
14.0	1.087242	23	0	23
15.0	1.087242	24	0	24
16.0	1.087242	22	0	22
17.0	1.087242	15	0	15
18.0	1.087242	15	0	15
19.0	1.087242	9	0	9
20.0	1.087242	14	0	14
21.0	1.087242	7	0	7
22.0	1.087242	12	0	12
23.0	1.087242	10	0	10
24.0	1.087242	9	0	9
25.0	1.087242	2	0	2
26.0	1.087242	6	0	6
27.0	1.087242	6	0	6
28.0	1.087242	5	0	5
29.0	1.087242	7	0	7
30.0	1.087242	3	0	3
31.0	1.087242	2	0	2
32.0	1.087242	2	0	2
33.0	1.087242	4	0	4
34.0	1.087242	5	0	5
35.0	1.087242	3	0	3
36.0	1.087242	5	0	5
37.0	1.087242	3	0	3
38.0	1.087242	1	0	1
39.0	1.087242	2	0	2
40.0	1.087242	4	0	4
41.0	1.087242	6	0	6
42.0	1.087242	2	0	2
43.0	1.087242	4	0	4
44.0	1.087242	5	0	5
45.0	1.087242	0	0	0
46.0	1.087242	3	0	3
47.0	1.087242	3	0	3
48.0	1.087242	0	0	0
49.0	1.087242	4	0	4
50.0	1.087242	2	0	2
51.0	1.087242	0	0	0
52.0	1.087242	3	0	3
53.0	1.087242	0	0	0
54.0	1.087242	3	0	3
55.0	1.087242	2	0	2
56.0	1.087242	0	0	0
57.0	1.087242	3	0	3
58.0	1.087242	0	0	0
59.0	1.087242	0	0	0
60.0	1.087242	0	0	0
61.0	1.087242	0	0	0
62.0	1.087242	2	0	2
63.0	1.087242	1	0	1
64.0	1.087242	1	0	1
65.0	1.087242	0	0	0
66.0	1.087242	0	0	0
67.0	1.087242	2	0	2
68.0	1.087242	0	0	0
69.0	1.087242	3	0	3
70.0	1.087242	0	0	0
71.0	1.087242	0	0	0
72.0	1.087242	0	0	0
73.0	1.087242	0	0	0
74.0	1.087242	1	0	1
75.0	1.087242	0	0	0
76.0	1.087242	1	0	1
77.0	1.087242	1	0	1
78.0	1.087242	1	0	1
79.0	1.087242	0	0	0
80.0	1.087242	1	0	1
81.0	1.087242	1	0	1
82.0	1.087242	0	0	0
83.0	1.087242	1	0	1
84.0	1.087242	0	0	0
85.0	1.087242	0	0	0
86.0	1.087242	0	0	0
