## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /mnt/c/Stages/StageESCAPE/PlasmoMut/output/bam/112313357426_S2_L001.sorted.bam --OUTPUT /mnt/c/Stages/StageESCAPE/PlasmoMut/output/bam/112313357426_S2_L001.sorted.dedup.bam --METRICS_FILE /mnt/c/Stages/StageESCAPE/PlasmoMut/output/bam/112313357426_S2_L001.sorted.metrics.txt --REMOVE_DUPLICATES true --VALIDATION_STRINGENCY LENIENT --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 21 01:35:04 EEST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
WGA	790	45138	316	15178	447	27595	0	0.610952	19454

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	0.99998	12160	12160
2.0	1.098228	2215	2215
3.0	1.107881	1028	1028
4.0	1.108829	556	556
5.0	1.108922	330	330
6.0	1.108931	213	213
7.0	1.108932	170	170
8.0	1.108932	131	131
9.0	1.108932	89	89
10.0	1.108932	71	71
11.0	1.108932	49	49
12.0	1.108932	51	51
13.0	1.108932	45	45
14.0	1.108932	41	41
15.0	1.108932	27	27
16.0	1.108932	27	27
17.0	1.108932	27	27
18.0	1.108932	16	16
19.0	1.108932	17	17
20.0	1.108932	23	23
21.0	1.108932	12	12
22.0	1.108932	16	16
23.0	1.108932	12	12
24.0	1.108932	15	15
25.0	1.108932	13	13
26.0	1.108932	5	5
27.0	1.108932	12	12
28.0	1.108932	6	6
29.0	1.108932	7	7
30.0	1.108932	7	7
31.0	1.108932	5	5
32.0	1.108932	7	7
33.0	1.108932	6	6
34.0	1.108932	5	5
35.0	1.108932	3	3
36.0	1.108932	4	4
37.0	1.108932	5	5
38.0	1.108932	1	1
39.0	1.108932	5	5
40.0	1.108932	4	4
41.0	1.108932	5	5
42.0	1.108932	4	4
43.0	1.108932	4	4
44.0	1.108932	2	2
45.0	1.108932	1	1
46.0	1.108932	3	3
47.0	1.108932	5	5
48.0	1.108932	3	3
49.0	1.108932	5	5
50.0	1.108932	1	1
51.0	1.108932	1	1
52.0	1.108932	1	1
53.0	1.108932	1	1
54.0	1.108932	2	2
55.0	1.108932	3	3
56.0	1.108932	4	4
57.0	1.108932	1	1
58.0	1.108932	4	4
59.0	1.108932	0	0
60.0	1.108932	3	3
61.0	1.108932	1	1
62.0	1.108932	3	3
63.0	1.108932	2	2
64.0	1.108932	1	1
65.0	1.108932	0	0
66.0	1.108932	0	0
67.0	1.108932	3	3
68.0	1.108932	0	0
69.0	1.108932	2	2
70.0	1.108932	0	0
71.0	1.108932	1	1
72.0	1.108932	3	3
73.0	1.108932	3	3
74.0	1.108932	1	1
75.0	1.108932	2	2
76.0	1.108932	2	2
77.0	1.108932	0	0
78.0	1.108932	0	0
79.0	1.108932	0	0
80.0	1.108932	0	0
81.0	1.108932	0	0
82.0	1.108932	0	0
83.0	1.108932	2	2
84.0	1.108932	1	1
85.0	1.108932	1	1
86.0	1.108932	0	0
87.0	1.108932	1	1
88.0	1.108932	0	0
89.0	1.108932	1	1
90.0	1.108932	0	0
91.0	1.108932	0	0
92.0	1.108932	1	1
93.0	1.108932	1	1
94.0	1.108932	0	0
95.0	1.108932	0	0
96.0	1.108932	1	1
97.0	1.108932	0	0
98.0	1.108932	0	0
99.0	1.108932	0	0
100.0	1.108932	0	0
103.0	0	2	2
104.0	0	1	1
105.0	0	1	1
107.0	0	1	1
108.0	0	1	1
110.0	0	1	1
115.0	0	2	2
116.0	0	1	1
119.0	0	1	1
129.0	0	1	1
131.0	0	1	1
137.0	0	3	3
138.0	0	1	1
142.0	0	1	1
143.0	0	1	1
155.0	0	1	1
196.0	0	1	1

