## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT bam_files/112313321571_S193_L001.sorted.bam --OUTPUT bam_files/112313321571_S193_L001.sorted.dedup.bam --METRICS_FILE bam_files/112313321571_S193_L001.sorted.metrics.txt --REMOVE_DUPLICATES true --VALIDATION_STRINGENCY LENIENT --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Aug 18 17:08:14 EEST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
WGA	1503	94254	580	20953	951	77238	23	0.817989	17084

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	0.999963	10251	0	10252
2.0	1.00398	2375	15	2375
3.0	1.003996	1075	4	1074
4.0	1.003996	646	0	646
5.0	1.003996	462	0	462
6.0	1.003996	288	0	290
7.0	1.003996	212	0	210
8.0	1.003996	166	0	166
9.0	1.003996	152	0	153
10.0	1.003996	118	0	117
11.0	1.003996	108	0	108
12.0	1.003996	83	0	83
13.0	1.003996	70	0	70
14.0	1.003996	83	0	83
15.0	1.003996	50	0	50
16.0	1.003996	57	0	57
17.0	1.003996	35	0	35
18.0	1.003996	36	0	36
19.0	1.003996	45	0	45
20.0	1.003996	31	0	31
21.0	1.003996	34	0	34
22.0	1.003996	34	0	34
23.0	1.003996	30	0	30
24.0	1.003996	30	0	30
25.0	1.003996	22	0	22
26.0	1.003996	19	0	19
27.0	1.003996	20	0	20
28.0	1.003996	14	0	14
29.0	1.003996	16	0	16
30.0	1.003996	11	0	11
31.0	1.003996	15	0	15
32.0	1.003996	9	0	9
33.0	1.003996	14	0	14
34.0	1.003996	11	0	11
35.0	1.003996	13	0	13
36.0	1.003996	18	0	18
37.0	1.003996	11	0	11
38.0	1.003996	4	0	4
39.0	1.003996	7	0	7
40.0	1.003996	11	0	11
41.0	1.003996	8	0	8
42.0	1.003996	11	0	11
43.0	1.003996	3	0	3
44.0	1.003996	8	0	8
45.0	1.003996	8	0	8
46.0	1.003996	5	0	6
47.0	1.003996	11	0	10
48.0	1.003996	4	0	4
49.0	1.003996	7	0	7
50.0	1.003996	4	0	4
51.0	1.003996	7	0	7
52.0	1.003996	3	0	4
53.0	1.003996	3	0	2
54.0	1.003996	3	0	3
55.0	1.003996	5	0	5
56.0	1.003996	2	0	2
57.0	1.003996	7	0	7
58.0	1.003996	0	0	0
59.0	1.003996	3	0	3
60.0	1.003996	5	0	5
61.0	1.003996	6	0	6
62.0	1.003996	4	0	4
63.0	1.003996	2	0	2
64.0	1.003996	3	0	3
65.0	1.003996	2	0	3
66.0	1.003996	9	0	8
67.0	1.003996	4	0	4
68.0	1.003996	6	0	6
69.0	1.003996	7	0	7
70.0	1.003996	3	0	3
71.0	1.003996	3	0	3
72.0	1.003996	4	0	4
73.0	1.003996	1	0	1
74.0	1.003996	6	0	6
75.0	1.003996	2	0	2
76.0	1.003996	1	0	1
77.0	1.003996	0	0	0
78.0	1.003996	2	0	2
79.0	1.003996	5	0	5
80.0	1.003996	1	0	1
81.0	1.003996	3	0	3
